,name,price,km,fuel_type,location
18105,2018 Mercedes-Benz GLA 200 d Sport,"₹29,50,000","24,811 KMs",Diesel,Mumbai
18106,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
18107,2008 Maruti Suzuki Swift VXi,"₹1,85,000","88,901 KMs",Petrol,Pune
18108,2012 Maruti Suzuki Swift DZire VXI,"₹3,75,000","49,730 KMs",Petrol,Jamshedpur
18109,2018 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"₹4,95,000","36,502 KMs",Petrol,Pune
18110,2022 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"₹84,00,000",750 KMs,Diesel,Hyderabad
18111,2010 Hyundai i10 Magna,"₹1,80,000","48,000 KMs",Petrol,Patna
18112,2012 Maruti Suzuki Alto LXi BS-III,"₹2,35,000","17,449 KMs",Petrol,Jamshedpur
18113,2017 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],"₹5,00,000","38,250 KMs",Petrol,Goa
18114,2021 Mercedes-Benz GLS 450 4MATIC,"₹1,38,50,000","17,000 KMs",Petrol,Delhi
18115,2021 Jeep Compass 80 Anniversary 1.4 Petrol DCT,"₹26,00,000","8,888 KMs",Petrol,Mumbai
18116,2021 MINI Cooper JCW Hatchback,"₹45,00,000","2,308 KMs",Petrol,Mumbai
18117,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
18118,2019 Mercedes-Benz CLA 200 Petrol Sport,"₹32,50,000","24,028 KMs",Petrol,Mumbai
18119,2017 Mahindra KUV100 K4 D 5 STR,"₹4,75,000","33,888 KMs",Diesel,Chennai
18120,2018 Honda Jazz VX CVT Petrol,"₹7,95,000","22,673 KMs",Petrol,Mumbai
18121,2016 Hyundai Grand i10 Sports Edition 1.1 CRDi,"₹4,85,000","62,429 KMs",Diesel,Kanpur
18122,2015 Maruti Suzuki Swift VDi,"₹5,65,000","49,208 KMs",Diesel,Chennai
18123,2014 Mahindra XUV500 W8,"₹7,49,999","63,305 KMs",Diesel,Mumbai
18124,2015 Renault Duster 85 PS RxL Diesel (Opt),"₹6,64,999","87,754 KMs",Diesel,Mumbai
18125,2019 Hyundai Santro Era Executive [2019-2020],"₹4,90,000","11,802 KMs",Petrol,Kanpur
18126,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
18127,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
18128,2018 Maruti Suzuki Baleno Alpha Automatic,"₹8,25,000","10,486 KMs",Petrol,Pune
18129,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
18130,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
18131,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
18132,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
18133,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
18134,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
18135,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
18136,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
18137,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
18138,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
18139,2019 Hyundai Santro Sportz [2018-2020],"₹5,95,000","22,000 KMs",Petrol,Pune
18140,2018 Honda City VX,"₹10,68,000","20,281 KMs",Petrol,Bangalore
18141,2022 Tata Safari XZ Plus 6 S New,"₹24,99,999","1,653 KMs",Diesel,Pune
18142,2017 Skoda Superb Style TSI AT,"₹15,95,000","34,476 KMs",Petrol,Mumbai
18143,2018 Maruti Suzuki S-Cross Delta 1.6,"₹8,90,000","69,000 KMs",Diesel,Chennai
18144,2019 Maruti Suzuki Baleno Alpha 1.2,"₹7,75,000","35,000 KMs",Petrol,Secunderabad
18145,2015 Maruti Suzuki Alto K10 LXi CNG [2014-2018],"₹3,40,000","1,04,000 KMs",CNG,Pune
18146,2018 Maruti Suzuki Alto 800 VXi (O),"₹2,95,000","41,556 KMs",Petrol,Varanasi
18147,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
18148,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
18149,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
18150,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
18151,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
18152,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
18153,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
18154,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
18155,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
18156,2018 Mercedes-Benz GLA 200 d Sport,"₹29,50,000","24,811 KMs",Diesel,Mumbai
18157,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
18158,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
18159,2019 BMW 3 Series 320d Luxury Line,"₹32,50,000","40,440 KMs",Diesel,Mumbai
18160,2021 Mahindra Marazzo M6 Plus 7 STR,"₹14,00,000","28,495 KMs",Diesel,Mumbai
18161,2018 Tata Hexa XT 4x2 7 STR,"₹12,60,000","49,888 KMs",Diesel,Mumbai
18162,2018 Maruti Suzuki Swift ZDi Plus,"₹7,94,999","58,171 KMs",Diesel,Mumbai
18163,2017 Hyundai Xcent E Plus CRDi,"₹5,10,000","46,765 KMs",Diesel,Lucknow
18164,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
18165,2015 Maruti Suzuki Ertiga Vxi CNG,"₹6,50,000","68,154 KMs",CNG,Delhi
18166,2014 Maruti Suzuki Swift VXi,"₹4,45,000","67,206 KMs",Petrol,Chennai
18167,2013 Maruti Suzuki Wagon R 1.0 VXi,"₹3,45,000","68,827 KMs",Petrol,Chennai
18168,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
18169,2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"₹51,00,000","7,671 KMs",Diesel,Mumbai
18170,2020 Maruti Suzuki S-Cross Delta,"₹8,50,000","19,000 KMs",Petrol,Pune
18171,2017 Maruti Suzuki Ciaz Zeta 1.4 AT,"₹7,70,000","78,500 KMs",Petrol,Ahmedabad
18172,2015 Toyota Fortuner 4X4 AT 2.8 Diesel,"₹19,75,000","69,000 KMs",Diesel,Pune
18173,2016 Maruti Suzuki Wagon R 1.0 VXI+ AMT,"₹3,80,000","70,000 KMs",Petrol,Ahmedabad
18174,2011 Hyundai Verna Fluidic 1.4 CRDi,"₹4,70,000","1,10,426 KMs",Diesel,Hyderabad
18175,2011 Mercedes-Benz E-Class E200 CGI Blue Efficiency,"₹11,00,000","74,500 KMs",Petrol,Pune
18176,2020 Mahindra Scorpio 2021 S11 2WD 7 STR,"₹17,70,000","29,000 KMs",Diesel,Karnal
18177,2017 Mercedes-Benz GLA 200 CDI Sport,"₹18,00,000","85,600 KMs",Diesel,Mysore
18178,2021 Maruti Suzuki S-Presso VXi Plus,"₹4,65,000","2,077 KMs",Petrol,Chennai
18179,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
18180,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
18181,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
18182,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
18183,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
18184,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
18185,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
18186,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
18187,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
18188,2018 Mercedes-Benz GLA 200 d Sport,"₹29,50,000","24,811 KMs",Diesel,Mumbai
18189,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
18190,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
18191,2019 BMW 3 Series 320d Luxury Line,"₹32,50,000","40,440 KMs",Diesel,Mumbai
18192,2021 Mahindra Marazzo M6 Plus 7 STR,"₹14,00,000","28,495 KMs",Diesel,Mumbai
18193,2018 Tata Hexa XT 4x2 7 STR,"₹12,60,000","49,888 KMs",Diesel,Mumbai
18194,2018 Maruti Suzuki Swift ZDi Plus,"₹7,94,999","58,171 KMs",Diesel,Mumbai
18195,2017 Hyundai Xcent E Plus CRDi,"₹5,10,000","46,765 KMs",Diesel,Lucknow
18196,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
18197,2015 Maruti Suzuki Ertiga Vxi CNG,"₹6,50,000","68,154 KMs",CNG,Delhi
18198,2014 Maruti Suzuki Swift VXi,"₹4,45,000","67,206 KMs",Petrol,Chennai
18199,2013 Maruti Suzuki Wagon R 1.0 VXi,"₹3,45,000","68,827 KMs",Petrol,Chennai
18200,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
18201,2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"₹51,00,000","7,671 KMs",Diesel,Mumbai
18202,2020 Maruti Suzuki S-Cross Delta,"₹8,50,000","19,000 KMs",Petrol,Pune
18203,2015 Renault Duster 85 PS RxL,"₹4,75,000","72,851 KMs",Diesel,Kanpur
18204,2021 Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,"₹7,00,000","30,000 KMs",Petrol,Vijaywada
18205,2019 Mercedes-Benz C-Class C 220 CDI Style,"₹45,00,000","19,919 KMs",Diesel,Chennai
18206,2017 BMW X3 20d M Sport,"₹44,00,000","64,246 KMs",Diesel,Hyderabad
18207,2015 Maruti Suzuki Swift VXi ABS,"₹4,65,000","42,000 KMs",Petrol,Patna
18208,2012 Skoda Fabia Active 1.2 TDI,"₹1,55,000","46,965 KMs",Diesel,Ranchi
18209,2006 BMW 6 Series 645i,"₹26,00,000","9,000 KMs",Petrol,Pune
18210,2020 Maruti Suzuki Baleno Alpha Automatic,"₹8,55,000","49,202 KMs",Petrol,Hyderabad
18211,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
18212,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
18213,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
18214,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
18215,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
18216,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
18217,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
18218,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
18219,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
18220,2018 Mercedes-Benz GLA 200 d Sport,"₹29,50,000","24,811 KMs",Diesel,Mumbai
18221,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
18222,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
18223,2019 BMW 3 Series 320d Luxury Line,"₹32,50,000","40,440 KMs",Diesel,Mumbai
18224,2021 Mahindra Marazzo M6 Plus 7 STR,"₹14,00,000","28,495 KMs",Diesel,Mumbai
18225,2018 Tata Hexa XT 4x2 7 STR,"₹12,60,000","49,888 KMs",Diesel,Mumbai
18226,2018 Maruti Suzuki Swift ZDi Plus,"₹7,94,999","58,171 KMs",Diesel,Mumbai
18227,2017 Hyundai Xcent E Plus CRDi,"₹5,10,000","46,765 KMs",Diesel,Lucknow
18228,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
18229,2015 Maruti Suzuki Ertiga Vxi CNG,"₹6,50,000","68,154 KMs",CNG,Delhi
18230,2014 Maruti Suzuki Swift VXi,"₹4,45,000","67,206 KMs",Petrol,Chennai
18231,2013 Maruti Suzuki Wagon R 1.0 VXi,"₹3,45,000","68,827 KMs",Petrol,Chennai
18232,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
18233,2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"₹51,00,000","7,671 KMs",Diesel,Mumbai
18234,2020 Maruti Suzuki S-Cross Delta,"₹8,50,000","19,000 KMs",Petrol,Pune
18235,2016 Honda Jazz VX Petrol,"₹5,85,000","33,245 KMs",Petrol,Chennai
18236,2017 Hyundai Creta E Plus 1.4 CRDI,"₹8,35,000","62,000 KMs",Diesel,Kurukshetra
18237,2020 Hyundai Venue SX 1.0 (O) Petrol [2019-2020],"₹9,70,000","30,988 KMs",Petrol,Ajmer
18238,2011 Toyota Fortuner 3.0 MT,"₹14,20,000","2,08,094 KMs",Diesel,Hyderabad
18239,2012 Maruti Suzuki Swift DZire VXI,"₹3,75,000","49,730 KMs",Petrol,Jamshedpur
18240,2010 Skoda Fabia Classic 1.2 MPI,"₹2,45,000","1,40,341 KMs",Petrol,Pune
18241,2019 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"₹24,00,000","44,000 KMs",Diesel,Chennai
18242,2018 Honda Amaze 1.2 S MT Petrol [2018-2020],"₹6,10,000","22,000 KMs",Petrol,Pune
18243,2021 Jeep Compass 80 Anniversary 1.4 Petrol DCT,"₹26,00,000","8,888 KMs",Petrol,Mumbai
18244,2021 MINI Cooper JCW Hatchback,"₹45,00,000","2,308 KMs",Petrol,Mumbai
18245,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
18246,2019 Mercedes-Benz CLA 200 Petrol Sport,"₹32,50,000","24,028 KMs",Petrol,Mumbai
18247,2017 Mahindra KUV100 K4 D 5 STR,"₹4,75,000","33,888 KMs",Diesel,Chennai
18248,2018 Honda Jazz VX CVT Petrol,"₹7,95,000","22,673 KMs",Petrol,Mumbai
18249,2016 Hyundai Grand i10 Sports Edition 1.1 CRDi,"₹4,85,000","62,429 KMs",Diesel,Kanpur
18250,2015 Maruti Suzuki Swift VDi,"₹5,65,000","49,208 KMs",Diesel,Chennai
18251,2014 Mahindra XUV500 W8,"₹7,49,999","63,305 KMs",Diesel,Mumbai
18252,2015 Renault Duster 85 PS RxL Diesel (Opt),"₹6,64,999","87,754 KMs",Diesel,Mumbai
18253,2019 Hyundai Santro Era Executive [2019-2020],"₹4,90,000","11,802 KMs",Petrol,Kanpur
18254,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
18255,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
18256,2018 Maruti Suzuki Baleno Alpha Automatic,"₹8,25,000","10,486 KMs",Petrol,Pune
18257,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
18258,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
18259,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
18260,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
18261,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
18262,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
18263,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
18264,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
18265,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
18266,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
18267,2012 Maruti Suzuki Ritz VXI BS-IV,"₹2,25,000","52,731 KMs",Petrol,Delhi
18268,2011 Maruti Suzuki Wagon R 1.0 LXi CNG,"₹2,25,000","61,328 KMs",CNG,Delhi
18269,2007 BMW 3 Series 320i Sedan,"₹8,50,000","26,000 KMs",Petrol,Bangalore
18270,2022 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"₹84,00,000",750 KMs,Diesel,Hyderabad
18271,2021 Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],"₹5,35,000","38,000 KMs",Petrol,Salem
18272,2018 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],"₹4,95,000","36,502 KMs",Petrol,Pune
18273,2018 Hyundai Elite i20 Sportz 1.2,"₹7,10,000","20,000 KMs",Petrol,Chennai
18274,2018 Mahindra XUV500 W11,"₹12,99,000","71,168 KMs",Diesel,Kolkata
18275,2021 Jeep Compass 80 Anniversary 1.4 Petrol DCT,"₹26,00,000","8,888 KMs",Petrol,Mumbai
18276,2021 MINI Cooper JCW Hatchback,"₹45,00,000","2,308 KMs",Petrol,Mumbai
18277,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
18278,2019 Mercedes-Benz CLA 200 Petrol Sport,"₹32,50,000","24,028 KMs",Petrol,Mumbai
18279,2017 Mahindra KUV100 K4 D 5 STR,"₹4,75,000","33,888 KMs",Diesel,Chennai
18280,2018 Honda Jazz VX CVT Petrol,"₹7,95,000","22,673 KMs",Petrol,Mumbai
18281,2016 Hyundai Grand i10 Sports Edition 1.1 CRDi,"₹4,85,000","62,429 KMs",Diesel,Kanpur
18282,2015 Maruti Suzuki Swift VDi,"₹5,65,000","49,208 KMs",Diesel,Chennai
18283,2014 Mahindra XUV500 W8,"₹7,49,999","63,305 KMs",Diesel,Mumbai
18284,2015 Renault Duster 85 PS RxL Diesel (Opt),"₹6,64,999","87,754 KMs",Diesel,Mumbai
18285,2019 Hyundai Santro Era Executive [2019-2020],"₹4,90,000","11,802 KMs",Petrol,Kanpur
18286,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
18287,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
18288,2018 Maruti Suzuki Baleno Alpha Automatic,"₹8,25,000","10,486 KMs",Petrol,Pune
18289,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
18290,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
18291,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
18292,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
18293,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
18294,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
18295,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
18296,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
18297,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
18298,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
18299,2009 Honda City 1.5 S AT,"₹3,65,000","70,829 KMs",Petrol,Pune
18300,2017 Maruti Suzuki Wagon R 1.0 VXI AMT,"₹4,75,000","48,000 KMs",Petrol,Vadodara
18301,2008 Hyundai i10 Sportz 1.2,"₹2,45,000","80,614 KMs",Petrol,Hyderabad
18302,2018 Toyota Innova Crysta 2.4 G 7 STR [2016-2017],"₹17,95,000","89,000 KMs",Diesel,Jalandhar
18303,2015 Honda CR-V 2.0L 2WD MT,"₹10,75,000","1,00,000 KMs",Petrol,Chennai
18304,2013 Porsche Cayenne Diesel,"₹24,75,000","1,14,000 KMs",Diesel,Delhi
18305,2016 Maruti Suzuki Swift Dzire VXI,"₹5,35,000","28,000 KMs",Petrol,Lucknow
18306,2015 Renault Kwid RXT [2015-2019],"₹2,95,001","34,216 KMs",Petrol,Jamshedpur
18307,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
18308,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
18309,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
18310,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
18311,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
18312,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
18313,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
18314,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
18315,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
18316,2018 Mercedes-Benz GLA 200 d Sport,"₹29,50,000","24,811 KMs",Diesel,Mumbai
18317,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
18318,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
18319,2019 BMW 3 Series 320d Luxury Line,"₹32,50,000","40,440 KMs",Diesel,Mumbai
18320,2021 Mahindra Marazzo M6 Plus 7 STR,"₹14,00,000","28,495 KMs",Diesel,Mumbai
18321,2018 Tata Hexa XT 4x2 7 STR,"₹12,60,000","49,888 KMs",Diesel,Mumbai
18322,2018 Maruti Suzuki Swift ZDi Plus,"₹7,94,999","58,171 KMs",Diesel,Mumbai
18323,2017 Hyundai Xcent E Plus CRDi,"₹5,10,000","46,765 KMs",Diesel,Lucknow
18324,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
18325,2015 Maruti Suzuki Ertiga Vxi CNG,"₹6,50,000","68,154 KMs",CNG,Delhi
18326,2014 Maruti Suzuki Swift VXi,"₹4,45,000","67,206 KMs",Petrol,Chennai
18327,2013 Maruti Suzuki Wagon R 1.0 VXi,"₹3,45,000","68,827 KMs",Petrol,Chennai
18328,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
18329,2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"₹51,00,000","7,671 KMs",Diesel,Mumbai
18330,2020 Maruti Suzuki S-Cross Delta,"₹8,50,000","19,000 KMs",Petrol,Pune
18331,2014 Audi A3 35 TDI Premium,"₹15,25,000","47,500 KMs",Diesel,Chennai
18332,2018 Honda WR-V VX MT Petrol,"₹8,25,000","31,654 KMs",Petrol,Hyderabad
18333,2018 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2016-2017],"₹4,70,000","65,000 KMs",Petrol,Kanpur
18334,2015 Tata Safari Storme 2.2 VX 4x2,"₹6,90,000","72,000 KMs",Diesel,Lucknow
18335,2020 Tata Nexon XM,"₹8,50,000","43,000 KMs",Petrol,Hyderabad
18336,2014 Maruti Suzuki Swift DZire VXI,"₹4,69,000","59,081 KMs",Petrol,Thane
18337,2018 Ford Figo Trend 1.5L TDCi [2015-2016],"₹4,50,000","82,000 KMs",Diesel,Agra
18338,2011 Land Rover Freelander 2 HSE,"₹15,00,000","98,000 KMs",Diesel,Chennai
18339,2021 Jeep Compass 80 Anniversary 1.4 Petrol DCT,"₹26,00,000","8,888 KMs",Petrol,Mumbai
18340,2021 MINI Cooper JCW Hatchback,"₹45,00,000","2,308 KMs",Petrol,Mumbai
18341,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
18342,2019 Mercedes-Benz CLA 200 Petrol Sport,"₹32,50,000","24,028 KMs",Petrol,Mumbai
18343,2017 Mahindra KUV100 K4 D 5 STR,"₹4,75,000","33,888 KMs",Diesel,Chennai
18344,2018 Honda Jazz VX CVT Petrol,"₹7,95,000","22,673 KMs",Petrol,Mumbai
18345,2016 Hyundai Grand i10 Sports Edition 1.1 CRDi,"₹4,85,000","62,429 KMs",Diesel,Kanpur
18346,2015 Maruti Suzuki Swift VDi,"₹5,65,000","49,208 KMs",Diesel,Chennai
18347,2014 Mahindra XUV500 W8,"₹7,49,999","63,305 KMs",Diesel,Mumbai
18348,2015 Renault Duster 85 PS RxL Diesel (Opt),"₹6,64,999","87,754 KMs",Diesel,Mumbai
18349,2019 Hyundai Santro Era Executive [2019-2020],"₹4,90,000","11,802 KMs",Petrol,Kanpur
18350,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
18351,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
18352,2018 Maruti Suzuki Baleno Alpha Automatic,"₹8,25,000","10,486 KMs",Petrol,Pune
18353,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
18354,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
18355,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
18356,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
18357,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
